site_no,n_obs,mean,sd
01411400,2,5.85,0.353553
01411955,2,6.6,0
01464515,4,5.325,0.531507
01464527,3,6.266667,0.152753
01464529,2,8.2,0
01464578,2,7.55,0.070711
01464600,365,8.764286,3.054516
01466500,2464,3.976907,1.858454
01467200,10447,6.817134,2.770541
01467359,5,5.44,0.181659
01472104,4554,8.956754,2.13304
01472119,1466,9.793997,2.674507
014721254,221,8.207692,1.510685
014721259,244,9.408197,1.184682
01473499,1572,9.243857,3.058144
01473500,2796,9.31216,2.135528
01473675,1427,9.360126,2.71248
01473780,1522,9.321616,2.792751
01474500,1758,9.697364,2.39284
01475530,965,9.555971,1.640012
01477050,10127,6.996791,2.303776
01480617,9988,9.817434,1.714318
01480870,10363,9.4649,1.780083
01481000,10908,9.652837,1.77031
01481500,5466,10.806824,2.114027
01482500,2,6.55,0.353553
01482530,9,4.177778,2.757616
