site_no,n_obs,mean,sd
01465798,342,11.511437,2.048346
01467086,720,NA,NA
01467087,1089,9.952709,1.051555
01472104,82115,8.992646,2.015255
01473500,215587,9.295283,2.19786
01474000,125,12.046774,1.136707
01474500,717,12.288703,0.299344
01475530,93184,9.544462,1.905726
01475548,90813,9.196758,2.630917
01480617,260150,10.078111,1.864906
01480870,309712,9.782767,1.927587
01481000,317212,9.864694,1.841411
01481500,488291,10.804813,2.144338
01482504,5082,4.128945,1.548127
01482537,5449,7.825776,2.926813
