rmse,nse,rmse_top10,rmse_bot10,rmse_logged,mean_bias,mean_bias_top10,mean_bias_bot10,nse_top10,nse_bot10,nse_logged,kge,variable,partition,holdout,rep_id
0.659982,0.896175,0.740089,1.073752,0.081521,0.007579,-0.375817,0.879906,0.181579,-2.852059,0.864952,0.926194,do_min,train,14721259,0
0.592369,0.906892,0.790871,0.885545,0.061686,0.097121,-0.323215,0.733143,-0.052746,-2.948191,0.894578,0.932254,do_mean,train,14721259,0
0.976769,0.771606,1.737819,1.259176,0.087302,0.19448,-1.021666,1.13257,-2.038406,-6.217345,0.767647,0.806439,do_max,train,14721259,0
1.24692,0.632079,0.605271,2.74024,0.195044,0.727841,0.424154,2.576458,-0.335676,-7.588339,0.50183,0.811956,do_min,val,14721259,0
0.970309,0.763223,0.662265,2.216137,0.125241,0.546819,0.175183,2.041885,0.033319,-5.959023,0.677092,0.861412,do_mean,val,14721259,0
1.259634,0.700482,2.161888,2.140686,0.12224,0.28685,-1.743811,1.997613,-3.952273,-7.307509,0.661937,0.712521,do_max,val,14721259,0
0.67189,0.892395,0.759604,1.168097,0.083654,0.060293,-0.424132,0.99348,0.137848,-3.558713,0.857793,0.891161,do_min,train,14721259,1
0.61751,0.898821,0.881587,0.923014,0.064527,0.057957,-0.482732,0.762077,-0.308107,-3.289369,0.884645,0.900558,do_mean,train,14721259,1
1.006049,0.757708,1.901146,1.212193,0.089383,0.034628,-1.277654,1.062002,-2.636366,-5.6888,0.756438,0.78712,do_max,train,14721259,1
1.28914,0.606742,0.693702,2.980866,0.204033,0.813199,0.531741,2.826248,-0.754478,-9.162879,0.454858,0.78109,do_min,val,14721259,1
1.030628,0.73287,0.644162,2.438406,0.134349,0.588647,0.070535,2.281566,0.085446,-7.424948,0.62842,0.804064,do_mean,val,14721259,1
1.357695,0.652032,2.443714,2.383246,0.132174,0.286581,-2.011206,2.256801,-5.327598,-9.296808,0.604761,0.636208,do_max,val,14721259,1
0.652446,0.898533,0.719768,1.061765,0.081054,-0.023924,-0.430606,0.858166,0.225904,-2.766533,0.866494,0.914865,do_min,train,14721259,2
0.599648,0.90459,0.786436,0.849599,0.062342,0.079531,-0.285554,0.681239,-0.040972,-2.634166,0.892327,0.939059,do_mean,train,14721259,2
0.993065,0.763921,1.72302,1.166768,0.088183,0.133732,-0.978213,1.027854,-1.986876,-5.196886,0.762933,0.838204,do_max,train,14721259,2
1.233336,0.640052,0.687035,2.730098,0.193136,0.734457,0.543391,2.564787,-0.720918,-7.524883,0.511532,0.827491,do_min,val,14721259,2
0.993943,0.751548,0.670572,2.237046,0.126869,0.542266,0.175179,2.056612,0.008918,-6.090956,0.668643,0.861604,do_mean,val,14721259,2
1.278667,0.691362,2.233788,2.130125,0.123584,0.217645,-1.754796,1.967688,-4.287155,-7.22574,0.654467,0.712129,do_max,val,14721259,2
0.64973,0.899376,0.698272,1.058775,0.081143,-0.005105,-0.323341,0.859604,0.27145,-2.745345,0.866202,0.922475,do_min,train,14721259,3
0.594908,0.906092,0.845053,0.806347,0.061696,0.012416,-0.356004,0.608613,-0.201932,-2.273561,0.894546,0.936093,do_mean,train,14721259,3
0.992731,0.76408,1.884621,1.065788,0.08754,0.009111,-1.216356,0.909939,-2.573423,-4.170661,0.766377,0.818248,do_max,train,14721259,3
1.307788,0.595283,1.089774,2.87047,0.201224,0.834357,0.979322,2.716049,-3.329872,-8.424061,0.469763,0.826112,do_min,val,14721259,3
0.997004,0.750016,0.799616,2.278246,0.127836,0.561812,0.418564,2.113278,-0.409233,-6.354551,0.663575,0.86781,do_mean,val,14721259,3
1.268192,0.696398,2.234508,2.161523,0.123177,0.207163,-1.79758,2.020721,-4.290565,-7.47002,0.656735,0.700975,do_max,val,14721259,3
0.721089,0.876059,0.751982,1.14615,0.087425,0.162421,-0.238343,0.957871,0.155062,-3.389018,0.844683,0.928573,do_min,train,14721259,4
0.661529,0.883882,0.864376,0.878724,0.067467,0.148523,-0.336418,0.738171,-0.257529,-2.887604,0.873894,0.94008,do_mean,train,14721259,4
1.052446,0.734844,1.850787,1.118182,0.093181,0.09501,-1.177969,0.968256,-2.44627,-4.691532,0.735301,0.828343,do_max,train,14721259,4
1.431602,0.515022,0.960795,3.038521,0.214512,0.999754,0.84251,2.89489,-2.365609,-9.559819,0.397423,0.799954,do_min,val,14721259,4
1.100759,0.695278,0.710178,2.422497,0.137695,0.705026,0.363635,2.265965,-0.111612,-7.315372,0.60968,0.858104,do_mean,val,14721259,4
1.335061,0.663537,2.140446,2.319206,0.129975,0.320266,-1.711197,2.190696,-3.854523,-8.75087,0.617805,0.707477,do_max,val,14721259,4
0.668902,0.89335,0.760643,1.024828,0.082594,-0.07161,-0.4309,0.829045,0.135488,-2.509027,0.861373,0.919531,do_min,train,14721259,5
0.607212,0.902168,0.887032,0.786876,0.063086,-0.05284,-0.46492,0.623183,-0.324313,-2.11738,0.88974,0.926521,do_mean,train,14721259,5
0.99977,0.760723,1.923406,1.098568,0.08855,-0.057544,-1.284577,0.951538,-2.72202,-4.49362,0.760958,0.80159,do_max,train,14721259,5
1.224504,0.645189,0.644978,2.827096,0.195505,0.707024,0.483179,2.672209,-0.516671,-8.141408,0.499475,0.803409,do_min,val,14721259,5
0.951999,0.772075,0.608403,2.318577,0.126288,0.458224,0.034454,2.151831,0.184165,-6.617246,0.671673,0.821258,do_mean,val,14721259,5
1.293484,0.684168,2.434153,2.271041,0.12573,0.107235,-2.045522,2.138204,-5.278183,-8.350067,0.642358,0.64221,do_max,val,14721259,5
0.715124,0.878101,0.826881,0.959878,0.084797,-0.039585,-0.288841,0.740772,-0.021635,-2.07834,0.853879,0.925072,do_min,train,14721259,6
0.664463,0.88285,0.990726,0.708978,0.066939,-0.071279,-0.335674,0.503234,-0.652035,-1.530707,0.875858,0.932807,do_mean,train,14721259,6
1.048269,0.736945,1.956178,0.956984,0.092015,-0.118066,-1.116598,0.772003,-2.849935,-3.168831,0.741885,0.82541,do_max,train,14721259,6
1.206885,0.655325,0.895792,2.694692,0.190697,0.578328,0.434652,2.525087,-1.925611,-7.305199,0.523789,0.801273,do_min,val,14721259,6
0.917301,0.788387,0.826454,2.141391,0.119801,0.346458,0.192683,1.959458,-0.505416,-5.49751,0.704536,0.851856,do_mean,val,14721259,6
1.238367,0.71051,2.16425,2.106193,0.120027,0.059822,-1.592364,1.956232,-3.9631,-7.04195,0.674071,0.7109,do_max,val,14721259,6
0.709432,0.880034,1.042785,0.955435,0.082571,-0.238814,-0.751464,0.761746,-0.624798,-2.049909,0.861451,0.848393,do_min,train,14721259,7
0.74305,0.8535,1.205083,0.718331,0.073029,-0.340941,-0.847048,0.547326,-1.444255,-1.597924,0.852245,0.842082,do_mean,train,14721259,7
1.114941,0.702419,2.167565,0.961609,0.097083,-0.431712,-1.594525,0.826977,-3.726948,-3.209216,0.712667,0.744986,do_max,train,14721259,7
1.144874,0.689835,0.968218,2.673546,0.186295,0.454795,-0.156923,2.504847,-2.417815,-7.175367,0.54552,0.740068,do_min,val,14721259,7
0.904864,0.794086,1.064929,2.033787,0.117087,0.035916,-0.555819,1.835365,-1.499544,-4.860921,0.71777,0.744229,do_mean,val,14721259,7
1.401598,0.629164,2.76581,1.859037,0.129437,-0.472518,-2.340077,1.683776,-7.105554,-5.265287,0.620959,0.598219,do_max,val,14721259,7
0.666897,0.893988,0.785223,1.082683,0.082641,-0.06881,-0.497692,0.909354,0.078711,-2.916402,0.861217,0.89805,do_min,train,14721259,8
0.609109,0.901555,0.923772,0.831453,0.063096,-0.055325,-0.554232,0.675712,-0.436288,-2.480582,0.889704,0.906718,do_mean,train,14721259,8
1.00181,0.759745,1.925237,1.150066,0.088678,-0.018219,-1.30602,1.015505,-2.729108,-5.020746,0.760266,0.793144,do_max,train,14721259,8
1.193282,0.663051,0.709063,2.794497,0.192682,0.653275,0.524478,2.637544,-0.833039,-7.931803,0.513826,0.804059,do_min,val,14721259,8
0.91852,0.787824,0.65824,2.227448,0.122202,0.402656,0.055653,2.050296,0.045033,-6.030242,0.692577,0.833608,do_mean,val,14721259,8
1.284853,0.688368,2.422347,2.127348,0.123577,0.10918,-1.989235,1.971037,-5.21743,-7.20431,0.654505,0.679104,do_max,val,14721259,8
0.647216,0.900153,0.657415,1.003196,0.079747,0.074152,-0.170827,0.805223,0.354215,-2.362457,0.870767,0.943717,do_min,train,14721259,9
0.617346,0.898875,0.841808,0.866257,0.063707,0.124788,-0.235633,0.71294,-0.192719,-2.778076,0.887557,0.943021,do_mean,train,14721259,9
1.010339,0.755637,1.856765,1.11239,0.089275,0.118473,-1.143014,0.975348,-2.468569,-4.632729,0.757029,0.821201,do_max,train,14721259,9
1.263486,0.622238,0.881637,2.763964,0.195872,0.757166,0.732498,2.600257,-1.83388,-7.737693,0.497593,0.827871,do_min,val,14721259,9
1.034752,0.730728,0.770899,2.310632,0.130931,0.612056,0.365893,2.14329,-0.30983,-6.565135,0.647086,0.865709,do_mean,val,14721259,9
1.301859,0.680065,2.133385,2.221673,0.126353,0.327252,-1.647713,2.065749,-3.822546,-7.947982,0.638809,0.719535,do_max,val,14721259,9
