model,rmse,TEmax,TEmaxt,TEmaxcrit,MImax,TE0,TE1,TE2,TE3,TE4,TE5,TE6,TE7,TE8,TEcrit0,TEcrit1,TEcrit2,TEcrit3,TEcrit4,TEcrit5,TEcrit6,TEcrit7,TEcrit8,MI0,MI1,MI2,MI3,MI4,MI5,MI6,MI7,MI8,MIcrit0,MIcrit1,MIcrit2,MIcrit3,MIcrit4,MIcrit5,MIcrit6,MIcrit7,MIcrit8,corr0,corr1,corr2,corr3,corr4,corr5,corr6,corr7,corr8,MImaxt,MImaxcrit,replicate,sink,source,site
0_baseline_LSTM,1.4092783125424104,0.1249759149817398,0,TRUE,0.2542498305790309,0.1249759149817398,0.0208356822188394,0.017347627933299,0.0176744370719203,0.0183219111365038,0.0183621148164682,0.0161366511710475,0.0174832945004141,0.0186017051079155,0.0177628364128924,0.0177551993913648,0.0178337144714246,0.0178646078244794,0.0178700525656516,0.0176071049717551,0.0177508304656725,0.0177662890600478,0.0177250084069661,0.2542498305790309,0.1500119211023865,0.0599606858963624,0.0325516805784009,0.0238015817553685,0.0188430349314076,0.0169953519209832,0.0164461286887337,0.0148241768177972,0.0027623841761745,0.0027539590093042,0.0027515779355308,0.0027606481853131,0.002748447990611,0.0026799873393818,0.0027126157529557,0.0027532759199242,0.0027261179165634,-0.7552858536889068,-0.6186045121024424,-0.3960106903258849,-0.2661510007472132,-0.2018012343499771,-0.1678699271756599,-0.1527492561387,-0.1446167757728177,-0.1303651342998367,0,TRUE,0,do_min,tmmx,01466500
0_baseline_LSTM,1.4003061663538978,0.1218686706057943,0,TRUE,0.2476502058218926,0.1218686706057943,0.0221015858641879,0.0202299308277362,0.0209217500286757,0.022419550103887,0.0197019041043205,0.0204080058586284,0.0208868308308711,0.0207001712125296,0.017431864315156,0.0173320501163325,0.0172802744740661,0.0173886400116782,0.0174710472548767,0.0173243623663684,0.0173791882171131,0.0175944535911874,0.0174409039827722,0.2476502058218926,0.1478831210802849,0.0584517825712612,0.0310503795037724,0.0235421607104157,0.0189848132953677,0.0168884823820014,0.0168081107164527,0.015374322628365,0.0026361649263446,0.002688412785572,0.0025976863122489,0.0026455691589688,0.0026469712926287,0.0026838542980254,0.0027095537147591,0.0026212565152148,0.0026507180658712,-0.7489714623459812,-0.61717166048588,-0.3973066495560919,-0.2689298496019,-0.2048597112837901,-0.1718678007227838,-0.1566943430658475,-0.1480113452668225,-0.1333754224539802,0,TRUE,0,do_mean,tmmx,01466500
0_baseline_LSTM,1.3608069665933096,0.1238285437142951,0,TRUE,0.2478932206595195,0.1238285437142951,0.0230811753770056,0.0219738590325832,0.022988121838726,0.0229773708699933,0.022252441659064,0.0235378016566568,0.0225491497291377,0.0225199475085663,0.0182885447341516,0.0182126344722437,0.0183485576285989,0.0182448862388867,0.0183331871221558,0.0183865487633072,0.0184619582837801,0.0183493477422251,0.0184147837694714,0.2478932206595195,0.1471458523222304,0.0587609808726314,0.032330937905917,0.0228928189998889,0.0199963107777965,0.0197852853836504,0.017594119399923,0.0157995062390537,0.0027156661841813,0.002722656641697,0.0028070461523765,0.00271776406966,0.0027466329907364,0.0027693172655721,0.0026817479189419,0.0027772008322342,0.0027530818480859,-0.7361733706032662,-0.6102057130524493,-0.3944843352604814,-0.268625056912157,-0.2055521513604996,-0.17404906738771,-0.1587900138166874,-0.1496005353715096,-0.1353338566872294,0,TRUE,0,do_max,tmmx,01466500
0_baseline_LSTM,1.029296543303183,0.0518621782052524,1,TRUE,0.1683486685054759,0.0092036301843756,0.0518621782052524,0.0357085685215265,0.0232380014350096,0.0188327586051368,0.0181185150839069,0.0162105240367867,0.016271174378192,0.0164004430872883,0.0160749945133495,0.0160103614304359,0.0159549163479635,0.0159901902225339,0.0160589432420493,0.0160535478674761,0.0159668536530221,0.0160272535780238,0.0159767817943234,0.1256901204845983,0.1683486685054759,0.1283677476662618,0.0876547489754254,0.064722657126961,0.0505355431157951,0.0400927565728401,0.0326081856709138,0.0266375517695492,0.0023906849826305,0.0024254533204054,0.0024157990549334,0.0023981125656853,0.0024087979605207,0.0023886893290064,0.0024065535098576,0.0023918957229979,0.002408725131168,-0.6025315957214465,-0.6744962436728756,-0.6091019134756781,-0.5195050195821425,-0.4495564030712901,-0.3964359683929333,-0.3531857335631666,-0.3173914171596245,-0.2857821821125064,1,TRUE,0,do_min,tmmx,01472104
0_baseline_LSTM,1.1566965116772212,0.0610437793512014,1,TRUE,0.1481072188315289,0.0122138073188504,0.0610437793512014,0.0479714295337621,0.0346053806384865,0.0291426826502988,0.0262597764888293,0.0231965797300105,0.02195455494924,0.0196631374689172,0.0157809868830714,0.0159850889951379,0.0159737803373654,0.0159096532827539,0.0158052994475859,0.0158311195369273,0.0158331394932397,0.0158929292112131,0.0158726315545619,0.0992772467991776,0.1481072188315289,0.1205832254364918,0.0856403515720326,0.0633281485316567,0.0496492873263042,0.0392389630713119,0.0322190019265986,0.0260254921721564,0.0024332017256275,0.002435404326311,0.0024247566430599,0.0024768933316145,0.0024157920839256,0.0024470999415617,0.0024433765582444,0.0023856777398931,0.002441786850871,-0.5363864851652592,-0.6398692087413036,-0.5946326866762789,-0.5124691679726182,-0.4425428091132019,-0.3886020695769072,-0.3445000926629965,-0.3073447643664428,-0.2735757687418643,1,TRUE,0,do_mean,tmmx,01472104
0_baseline_LSTM,1.7613444991837626,0.0519347897680967,1,TRUE,0.0727005000482157,0.0199875409220499,0.0519347897680967,0.0459657784694205,0.0353481050990658,0.0298323432769042,0.0262093582944282,0.0244235158118678,0.0226151207410966,0.0205219742404713,0.0162854380035774,0.0163421440122899,0.0162616901579457,0.0161899312756104,0.016257269712867,0.0163632916522566,0.0162339436678442,0.0162205452494162,0.0162690211459033,0.0407532512021692,0.0727005000482157,0.0666926301851365,0.049337636336157203,0.036671466007289,0.0283798060961788,0.0223306652900366,0.0177684284224726,0.0140770479999247,0.0023880469756675,0.0023909158983064,0.0023556849039869,0.0023105815461257,0.002343289130553,0.0023736206206766,0.0023140089827006,0.0023824772979927,0.0023694786367368,-0.3415121450657464,-0.4697127883453678,-0.4590552194185699,-0.4007971350165341,-0.3428866602307516,-0.29803761796317513,-0.2613884306334685,-0.2297052848140573,-0.1997857096591992,1,TRUE,0,do_max,tmmx,01472104
0_baseline_LSTM,1.2008221411189108,0.0473457832338975,1,TRUE,0.162015390728083,0.0094780454527045,0.0473457832338975,0.0334910507596516,0.0234049378349604,0.0194789593534371,0.0163761426240025,0.0157423029143024,0.0154829492764196,0.0146330715595638,0.0162599203099124,0.0162361027446895,0.0162850024984031,0.0163060291307396,0.0163286453847847,0.0162281198988956,0.0162715830866235,0.0163073951663058,0.016314484995018,0.12414765294689,0.162015390728083,0.1272679023450495,0.0901041871518972,0.0673063900050293,0.0521865173116096,0.0420074132038247,0.0353810097843983,0.0284610534415721,0.0023647075141316,0.0023520977530266,0.0023706033650575,0.0023027188402577,0.0023504471582484,0.0023212481800984,0.0023568046324867,0.0023498591303954,0.0023358105223187,-0.6026133444083637,-0.6717273731284594,-0.6130549112824324,-0.5296529156935804,-0.4628231296887158,-0.4106536037287608,-0.3691967534462285,-0.3343276817645677,-0.3028921813445586,1,TRUE,0,do_min,tmmx,01472119
0_baseline_LSTM,1.1361536841198443,0.0565939306640906,1,TRUE,0.1472166496210389,0.0097630791719328,0.0565939306640906,0.0448330839808614,0.0328972013366105,0.0266125735158234,0.0226870519937657,0.0204503383887461,0.0184561446777971,0.0180641130509608,0.0157948743215703,0.0158616976760673,0.0158344099480996,0.0158979540620813,0.0157398379320113,0.0158732243667811,0.0158174539252372,0.0158261261769521,0.0159804265879554,0.1004259812223901,0.1472166496210389,0.1240201882199748,0.0904707830105891,0.0678644575133832,0.0531765977446847,0.043009105667407,0.0363488893512914,0.0291176535196778,0.0023489635191047,0.002364415588637,0.0023513253075566,0.0023616756422203,0.0023955875404853,0.0023606767866262,0.0023758001248928,0.0023749563049038,0.0023979477316005,-0.5497397036232397,-0.6437043214431336,-0.6043489194794716,-0.5303982526276859,-0.4656089205376844,-0.4138692060514375,-0.3726251981572022,-0.3373399018421262,-0.304230185966694,1,TRUE,0,do_mean,tmmx,01472119
0_baseline_LSTM,1.5181317753644694,0.0500885687302092,1,TRUE,0.0807474904605427,0.0172595579319211,0.0500885687302092,0.0439811222693711,0.0341330604931714,0.0292188357619096,0.0250754075430519,0.0235576519988855,0.021442840581469,0.0198800214488179,0.0160679473517767,0.0160686395810418,0.0161079969801288,0.0161153789007739,0.0160607853618677,0.016065179679007,0.0160014997354843,0.016093657404839,0.016169978988247,0.0479265376178195,0.0807474904605427,0.0757957156290628,0.0590497454188828,0.0459549145482181,0.0365733534203338,0.0300883975653511,0.0251222368027062,0.0197214032711702,0.0022995036521939,0.0022940698326,0.0023003157166556,0.0022676140414137,0.0023221681312302,0.0022719974928613,0.0022655143537796,0.0022671912864576,0.0022673719176954,-0.3913173137251101,-0.5069978662246112,-0.4987324961542704,-0.4472380849175095,-0.3941447310243251,-0.3510686417681476,-0.316564499722245,-0.2858619225886083,-0.2555726176441484,1,TRUE,0,do_max,tmmx,01472119
0_baseline_LSTM,1.0698632622131,0.0449561428736869,1,TRUE,0.1496201514302772,0.0102359192432282,0.0449561428736869,0.0337206146996027,0.0245343219988062,0.0201829136944559,0.018453861672329,0.0178385234129514,0.0171873664110165,0.0174841959004783,0.0155182540280692,0.0154914939173888,0.0152132673791104,0.0152744879144178,0.0154138909254855,0.0155011493845855,0.0154841405963099,0.0154711741251707,0.0153649204225124,0.1149801973470192,0.1496201514302772,0.119582982684828,0.0876211863968787,0.0660436177416322,0.0515013389064792,0.0426088859171024,0.0356232708950672,0.0299919821387793,0.0025364636422682,0.0024958619432217,0.0024605342631172,0.0024809521713158,0.0025185613007106,0.0024986098841467,0.0025091854630078002,0.0024595293532051,0.0024993197187298,-0.5766064261317415,-0.6380439850137382,-0.5828098827356148,-0.5052646400359162,-0.4414916906119187,-0.3926627788758888,-0.3536215465476616,-0.3209970640184362,-0.2927481744636685,1,TRUE,0,do_min,tmmx,01473499
