rmse,nse,rmse_top10,rmse_bot10,rmse_logged,mean_bias,mean_bias_top10,mean_bias_bot10,nse_top10,nse_bot10,nse_logged,kge,variable,partition,holdout,rep_id,model_id
0.639247,0.9035,0.794972,1.021095,0.081336,-0.098003,-0.501358,0.737767,0.054015,-0.921756,0.870581,0.893161,do_min,train,1472104,0,0_baseline_LSTM
0.581652,0.911508,0.87551,0.770589,0.061548,-0.101769,-0.495131,0.523793,-0.317249,-0.601364,0.898624,0.909149,do_mean,train,1472104,0,0_baseline_LSTM
0.907234,0.80186,1.693184,0.989902,0.080582,-0.088819,-1.092865,0.809121,-2.470676,-2.280414,0.803063,0.824939,do_max,train,1472104,0,0_baseline_LSTM
2.625571,-1.598725,5.623765,0.581273,0.395012,-2.069749,-4.921884,0.053603,-51.630774,-0.161465,-2.580909,0.215984,do_min,val,1472104,0,0_baseline_LSTM
3.600631,-3.425296,7.300537,1.033627,0.483824,-3.098516,-6.809564,-0.930528,-45.343424,-6.924443,-6.51376,-0.028359,do_mean,val,1472104,0,0_baseline_LSTM
5.00411,-3.512706,10.18944,1.275485,0.591944,-4.257383,-9.863741,-1.141001,-43.821476,-9.139521,-7.330734,-0.307722,do_max,val,1472104,0,0_baseline_LSTM
0.651744,0.89969,0.750881,1.037908,0.083307,-0.09125,-0.432889,0.757643,0.156036,-0.985565,0.86423,0.911282,do_min,train,1472104,1,0_baseline_LSTM
0.577876,0.912653,0.834332,0.818203,0.061548,-0.086204,-0.467582,0.576488,-0.196254,-0.805371,0.898625,0.924111,do_mean,train,1472104,1,0_baseline_LSTM
0.90359,0.803448,1.671142,1.005612,0.080163,-0.064826,-1.139904,0.818065,-2.3809,-2.385361,0.805109,0.836928,do_max,train,1472104,1,0_baseline_LSTM
1.304978,0.358024,1.397306,1.08832,0.187424,-0.682225,-0.171138,0.938595,-2.249138,-3.071535,0.193839,0.756161,do_min,val,1472104,1,0_baseline_LSTM
2.036504,-0.415649,2.684934,0.467962,0.24991,-1.652506,-2.12012,-0.071983,-5.268243,-0.624288,-1.004708,0.672533,do_mean,val,1472104,1,0_baseline_LSTM
3.193174,-0.837506,6.193774,0.607981,0.323093,-2.5462,-5.776946,-0.209034,-15.561368,-1.303812,-1.481863,0.391404,do_max,val,1472104,1,0_baseline_LSTM
0.678151,0.891397,0.886682,1.045812,0.085353,-0.181637,-0.675534,0.813552,-0.176838,-1.015921,0.857482,0.85849,do_min,train,1472104,2,0_baseline_LSTM
0.620859,0.899177,1.043472,0.769214,0.063973,-0.218204,-0.782806,0.542291,-0.871143,-0.595655,0.890477,0.862985,do_mean,train,1472104,2,0_baseline_LSTM
0.910945,0.800236,1.89178,0.914626,0.079361,-0.207579,-1.502445,0.748296,-3.332585,-1.800474,0.808985,0.781041,do_max,train,1472104,2,0_baseline_LSTM
4.023456,-5.102549,9.246549,0.650026,1.011068,-2.583618,-8.276412,0.315253,-141.280298,-0.452471,-23.978266,-0.460232,do_min,val,1472104,2,0_baseline_LSTM
