site_id,rmse,nse,rmse_top10,rmse_bot10,rmse_logged,mean_bias,mean_bias_top10,mean_bias_bot10,nse_top10,nse_bot10,nse_logged,kge,variable,partition,holdout,rep_id,model_id
01466500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_min,train,1472104,0,0_baseline_LSTM
01472119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_min,train,1472104,0,0_baseline_LSTM
014721254,0.467783,0.908979,0.269027,0.904799,0.067784,0.255493,-0.095022,0.896211,0.927143,-54.151968,0.874385,0.879414,do_min,train,1472104,0,0_baseline_LSTM
014721259,0.689208,0.667212,0.921888,0.913391,0.076844,-0.167073,-0.61742,0.828842,-0.641161,-10.306664,0.641753,0.724742,do_min,train,1472104,0,0_baseline_LSTM
01473499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_min,train,1472104,0,0_baseline_LSTM
01473500,0.813488,0.864663,1.004702,1.400611,0.110271,-0.050149,-0.736622,1.314234,-0.643625,-8.374505,0.81711,0.841517,do_min,train,1472104,0,0_baseline_LSTM
01473675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_min,train,1472104,0,0_baseline_LSTM
01473780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_min,train,1472104,0,0_baseline_LSTM
01474500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_min,train,1472104,0,0_baseline_LSTM
01475530,0.489891,0.914495,0.524712,0.900651,0.066725,0.059689,-0.379302,0.786233,-0.339658,-2.645635,0.884899,0.922908,do_min,train,1472104,0,0_baseline_LSTM
01475548,1.061607,0.81334,0.74615,1.948559,0.187467,0.117971,-0.596719,1.830367,-1.111485,-7.15291,0.706616,0.873481,do_min,train,1472104,0,0_baseline_LSTM
01480617,0.657018,0.850274,1.001191,0.703012,0.072207,-0.272009,-0.716276,0.574631,-0.187887,-1.974465,0.834043,0.875519,do_min,train,1472104,0,0_baseline_LSTM
01480870,0.613272,0.857811,0.639255,1.113732,0.076549,0.020616,-0.461025,1.007648,-0.203332,-6.479308,0.823796,0.837202,do_min,train,1472104,0,0_baseline_LSTM
01481000,0.582169,0.892278,0.919553,0.820077,0.06651,-0.163872,-0.800436,0.740494,-1.653063,-4.920288,0.881531,0.832409,do_min,train,1472104,0,0_baseline_LSTM
01481500,0.489142,0.950393,0.778523,0.520449,0.048835,-0.107394,-0.643435,0.368907,-0.962104,-2.110519,0.947069,0.954677,do_min,train,1472104,0,0_baseline_LSTM
01466500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_mean,train,1472104,0,0_baseline_LSTM
01472119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_mean,train,1472104,0,0_baseline_LSTM
014721254,0.455287,0.908758,0.281564,0.844826,0.060756,0.232328,-0.173044,0.831982,0.909272,-36.368103,0.876277,0.849649,do_mean,train,1472104,0,0_baseline_LSTM
014721259,0.659557,0.688768,0.755578,1.095496,0.071319,0.129408,-0.472275,1.031119,-0.286381,-12.058875,0.65027,0.680395,do_mean,train,1472104,0,0_baseline_LSTM
01473499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_mean,train,1472104,0,0_baseline_LSTM
01473500,0.819425,0.854366,1.498309,0.984539,0.088762,-0.063203,-0.879944,0.903792,-1.620595,-6.991646,0.840293,0.867751,do_mean,train,1472104,0,0_baseline_LSTM
01473675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_mean,train,1472104,0,0_baseline_LSTM
01473780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_mean,train,1472104,0,0_baseline_LSTM
01474500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_mean,train,1472104,0,0_baseline_LSTM
01475530,0.434965,0.931802,0.555007,0.685586,0.046965,0.120378,-0.330229,0.615261,0.086605,-10.804591,0.924029,0.924756,do_mean,train,1472104,0,0_baseline_LSTM
01475548,0.90552,0.858998,1.025445,1.581834,0.12133,-0.022008,-0.809317,1.426005,-1.259811,-5.763279,0.804691,0.893957,do_mean,train,1472104,0,0_baseline_LSTM
01480617,0.585056,0.885377,0.952208,0.48667,0.056482,-0.305197,-0.718706,0.407211,-0.151993,-3.565971,0.880615,0.886523,do_mean,train,1472104,0,0_baseline_LSTM
01480870,0.503141,0.901191,0.575388,0.813116,0.053812,0.001701,-0.411532,0.720309,-0.222923,-6.918569,0.885885,0.87162,do_mean,train,1472104,0,0_baseline_LSTM
01481000,0.575155,0.884564,0.91429,0.577058,0.057488,-0.206017,-0.690834,0.466728,-1.303281,-2.82693,0.881954,0.874376,do_mean,train,1472104,0,0_baseline_LSTM
01481500,0.408373,0.962808,0.615879,0.417467,0.03684,-0.042586,-0.435892,0.371231,-0.615532,-2.741422,0.964147,0.95969,do_mean,train,1472104,0,0_baseline_LSTM
01466500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_max,train,1472104,0,0_baseline_LSTM
01472119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_max,train,1472104,0,0_baseline_LSTM
014721254,0.550637,0.865124,0.325675,0.966251,0.065156,0.261309,-0.192209,0.938101,0.831152,-23.81504,0.830383,0.815344,do_max,train,1472104,0,0_baseline_LSTM
014721259,0.793543,0.569775,0.81009,1.331848,0.081818,0.433445,-0.274106,1.281844,-0.985833,-27.117515,0.515822,0.694941,do_max,train,1472104,0,0_baseline_LSTM
01473499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_max,train,1472104,0,0_baseline_LSTM
01473500,1.163492,0.744285,2.454355,1.118971,0.106905,-0.054494,-1.590009,1.05022,-2.727991,-12.084567,0.751572,0.79729,do_max,train,1472104,0,0_baseline_LSTM
01473675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_max,train,1472104,0,0_baseline_LSTM
01473780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_max,train,1472104,0,0_baseline_LSTM
01474500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_max,train,1472104,0,0_baseline_LSTM
01475530,0.832116,0.804967,1.19836,1.315695,0.077181,0.166732,-1.026822,1.244532,-1.73714,-13.270396,0.785291,0.770339,do_max,train,1472104,0,0_baseline_LSTM
01475548,1.459225,0.727434,2.836271,1.954986,0.138209,-0.029364,-2.720985,1.771135,-14.44647,-8.83142,0.713139,0.718315,do_max,train,1472104,0,0_baseline_LSTM
01480617,0.883073,0.797372,1.689846,0.751634,0.073412,-0.275578,-1.383181,0.67829,-2.251744,-6.640086,0.802463,0.781945,do_max,train,1472104,0,0_baseline_LSTM
01480870,1.033773,0.690825,2.124344,1.1773,0.088171,-0.123123,-1.700399,1.091414,-4.516267,-9.519486,0.696586,0.714974,do_max,train,1472104,0,0_baseline_LSTM
01481000,0.864169,0.745803,1.432846,0.902898,0.078022,-0.115673,-0.956199,0.814082,-2.081626,-5.731332,0.742897,0.810725,do_max,train,1472104,0,0_baseline_LSTM
01481500,0.511595,0.934763,0.616709,0.537279,0.04398,-0.012468,-0.139273,0.494389,-0.578482,-5.925884,0.936388,0.961983,do_max,train,1472104,0,0_baseline_LSTM
01472104,2.625571,-1.598725,5.623765,0.581273,0.395012,-2.069749,-4.921884,0.053603,-51.630774,-0.161465,-2.580909,0.215984,do_min,val,1472104,0,0_baseline_LSTM
01472104,3.600631,-3.425296,7.300537,1.033627,0.483824,-3.098516,-6.809564,-0.930528,-45.343424,-6.924443,-6.51376,-0.028359,do_mean,val,1472104,0,0_baseline_LSTM
01472104,5.00411,-3.512706,10.18944,1.275485,0.591944,-4.257383,-9.863741,-1.141001,-43.821476,-9.139521,-7.330734,-0.307722,do_max,val,1472104,0,0_baseline_LSTM
01466500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_min,train,1472104,1,0_baseline_LSTM
01472119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_min,train,1472104,1,0_baseline_LSTM
014721254,0.416354,0.927893,0.445703,0.770422,0.058825,0.092874,-0.317738,0.76007,0.800026,-38.986519,0.905394,0.873306,do_min,train,1472104,1,0_baseline_LSTM
014721259,0.654202,0.70016,0.73967,0.887924,0.073346,-0.163601,-0.577938,0.516383,-0.056504,-9.684959,0.673622,0.846408,do_min,train,1472104,1,0_baseline_LSTM
01473499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_min,train,1472104,1,0_baseline_LSTM
01473500,0.857949,0.849464,0.888012,1.576032,0.117425,0.133583,0.012723,1.501439,-0.284002,-10.869811,0.792609,0.897529,do_min,train,1472104,1,0_baseline_LSTM
01473675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_min,train,1472104,1,0_baseline_LSTM
01473780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_min,train,1472104,1,0_baseline_LSTM
01474500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_min,train,1472104,1,0_baseline_LSTM
01475530,0.503757,0.909586,0.545685,0.691103,0.067418,-0.118785,-0.47429,0.548355,-0.44889,-1.146574,0.882495,0.942745,do_min,train,1472104,1,0_baseline_LSTM
01475548,1.077555,0.80769,0.405056,2.095767,0.191035,0.307269,-0.044723,1.975695,0.377749,-8.431305,0.695341,0.882704,do_min,train,1472104,1,0_baseline_LSTM
01480617,0.639721,0.858054,0.925933,0.652882,0.07057,-0.191898,-0.662063,0.485251,-0.016014,-1.565383,0.841484,0.900775,do_min,train,1472104,1,0_baseline_LSTM
01480870,0.630498,0.849711,0.679457,0.967505,0.07739,-0.105664,-0.548918,0.833861,-0.359443,-4.644249,0.819903,0.863175,do_min,train,1472104,1,0_baseline_LSTM
01481000,0.569719,0.896836,0.709182,0.786596,0.066839,-0.126486,-0.543399,0.694285,-0.57801,-4.446743,0.880359,0.896707,do_min,train,1472104,1,0_baseline_LSTM
01481500,0.525734,0.942694,0.834559,0.502633,0.052589,-0.167787,-0.685355,0.315743,-1.25472,-1.901205,0.938618,0.949105,do_min,train,1472104,1,0_baseline_LSTM
01466500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_mean,train,1472104,1,0_baseline_LSTM
01472119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_mean,train,1472104,1,0_baseline_LSTM
014721254,0.420058,0.922332,0.634286,0.574099,0.051146,-0.098308,-0.561414,0.554157,0.539577,-16.25601,0.912321,0.837778,do_mean,train,1472104,1,0_baseline_LSTM
014721259,0.58322,0.756643,0.885641,0.752949,0.061031,-0.193725,-0.768468,0.532842,-0.767364,-5.169012,0.743891,0.803541,do_mean,train,1472104,1,0_baseline_LSTM
01473499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_mean,train,1472104,1,0_baseline_LSTM
01473500,0.857633,0.840468,1.424853,1.164478,0.093647,0.094465,-0.430963,1.098557,-1.369939,-10.17976,0.822231,0.897757,do_mean,train,1472104,1,0_baseline_LSTM
01473675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_mean,train,1472104,1,0_baseline_LSTM
01473780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_mean,train,1472104,1,0_baseline_LSTM
01474500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_mean,train,1472104,1,0_baseline_LSTM
01475530,0.394976,0.943766,0.51358,0.522223,0.042271,0.007942,-0.351394,0.425414,0.217872,-5.849184,0.938456,0.94872,do_mean,train,1472104,1,0_baseline_LSTM
01475548,0.929745,0.851352,0.732769,1.841936,0.126209,0.266148,-0.340294,1.699983,-0.153936,-8.17032,0.788668,0.900676,do_mean,train,1472104,1,0_baseline_LSTM
01480617,0.519717,0.909549,0.889934,0.459592,0.049994,-0.19072,-0.661819,0.356983,-0.00624,-3.071997,0.906464,0.915223,do_mean,train,1472104,1,0_baseline_LSTM
01480870,0.523811,0.892905,0.678785,0.646989,0.05459,-0.151219,-0.532715,0.522677,-0.701935,-4.013444,0.882562,0.888577,do_mean,train,1472104,1,0_baseline_LSTM
01481000,0.547336,0.895461,0.790567,0.583343,0.055632,-0.139222,-0.537724,0.472991,-0.722095,-2.910749,0.889454,0.91590800000000006,do_mean,train,1472104,1,0_baseline_LSTM
01481500,0.425607,0.959603,0.707286,0.350079,0.038477,-0.086329,-0.558002,0.278851,-1.130664,-1.631027,0.96089,0.960253,do_mean,train,1472104,1,0_baseline_LSTM
01466500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_max,train,1472104,1,0_baseline_LSTM
01472119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_max,train,1472104,1,0_baseline_LSTM
014721254,0.538211,0.871143,0.901789,0.70439,0.05773,-0.133049,-0.85529,0.661389,-0.294604,-12.187462,0.866845,0.749365,do_max,train,1472104,1,0_baseline_LSTM
014721259,0.583685,0.767238,0.917186,1.052919,0.059235,0.122235,-0.844554,0.999546,-1.545603,-16.573477,0.746215,0.663666,do_max,train,1472104,1,0_baseline_LSTM
01473499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_max,train,1472104,1,0_baseline_LSTM
01473500,1.172588,0.740271,2.307255,1.336489,0.108801,0.14887,-1.287256,1.287229,-2.294515,-17.666032,0.742682,0.80839,do_max,train,1472104,1,0_baseline_LSTM
01473675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_max,train,1472104,1,0_baseline_LSTM
01473780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_max,train,1472104,1,0_baseline_LSTM
01474500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,do_max,train,1472104,1,0_baseline_LSTM
01475530,0.833677,0.804234,1.266247,1.20062,0.076401,0.156564,-1.099811,1.101629,-2.056041,-10.883292,0.789608,0.774478,do_max,train,1472104,1,0_baseline_LSTM
01475548,1.489617,0.715962,2.516386,2.149995,0.143269,0.28032,-2.397264,1.953065,-11.158736,-10.8906,0.691751,0.730327,do_max,train,1472104,1,0_baseline_LSTM
01480617,0.851103,0.811778,1.696748,0.597403,0.070062,-0.222823,-1.42878,0.4863,-2.278361,-3.826358,0.820078,0.807228,do_max,train,1472104,1,0_baseline_LSTM
01480870,1.069641,0.668998,2.30102,0.903116,0.090169,-0.302927,-1.924663,0.773781,-5.471966,-5.190237,0.682679,0.728705,do_max,train,1472104,1,0_baseline_LSTM
01481000,0.84253,0.758374,1.32554,0.800798,0.075937,-0.054007,-0.838844,0.699771,-1.637344,-4.29505,0.756454,0.853935,do_max,train,1472104,1,0_baseline_LSTM
01481500,0.483667,0.941691,0.627154,0.467661,0.041628,0.007859,-0.390639,0.412911,-0.632401,-4.247328,0.94301,0.964537,do_max,train,1472104,1,0_baseline_LSTM
